AddClanDecalToVehicle	c	GRAPHICS	0x428BDCB9DA58DA53	boolean	vehicle:Vehicle,ped:Ped,boneIndex:integer,x1:number,x2:number,x3:number,y1:number,y2:number,y3:number,z1:number,z2:number,z3:number,scale:number,p13:any,alpha:integer	AddVehicleCrewEmblem
AddConvarChangeListener	b	CFX	0xAB7F7241	integer	conVarFilter:string,handler:function	
AddCoverBlockingArea	c	TASK	0x45C597097DD7CB81		playerX:number,playerY:number,playerZ:number,radiusX:number,radiusY:number,radiusZ:number,p6:boolean,p7:boolean,p8:boolean,p9:boolean	
AddCoverPoint	c	TASK	0xD5C12A75C7B9497F	ScrHandle	p0:number,p1:number,p2:number,p3:number,p4:any,p5:any,p6:any,p7:boolean	
AddCurrentRise	c	WATER	0xFDBF4CDBC07E1706	integer	xLow:number,yLow:number,xHigh:number,yHigh:number,height:number	AddExtraCalmingQuad
AddDecal	c	GRAPHICS	0xB302244A1839BDAD	integer	decalType:integer,posX:number,posY:number,posZ:number,dirX:number,dirY:number,dirZ:number,sideX:number,sideY:number,sideZ:number,width:number,height:number,rCoef:number,gCoef:number,bCoef:number,opacity:number,timeout:number,isLongRange:boolean,isDynamic:boolean,useComplexColn:boolean	
AddDecalToMarker	c	GRAPHICS	0x8A35C742130C6080		decalType:integer,textureDict:string,textureName:string	PatchDecalDiffuseMap
AddDispatchSpawnBlockingAngledArea	c	MISC	0x918C7B2D2FF3928B	any	x1:number,y1:number,z1:number,x2:number,y2:number,z2:number,width:number	
AddDispatchSpawnBlockingArea	c	MISC	0x2D4259F1FEB81DA9	any	x1:number,y1:number,x2:number,y2:number	
AddDoorToSystem	c	OBJECT	0x6F8838D03D1DC226		doorHash:Hash,modelHash:Hash,x:number,y:number,z:number,p5:boolean,scriptDoor:boolean,isLocal:boolean	
AddEntityIcon	c	GRAPHICS	0x9CD43EEE12BF4DD0	any	entity:Entity,icon:string	
AddEntityToAudioMixGroup	c	AUDIO	0x153973AB99FE8980		entity:Entity,groupName:string,fadeIn:number	
AddExplosion	c	FIRE	0xE3AD2BDBAEE269AC		x:number,y:number,z:number,explosionType:integer,damageScale:number,isAudible:boolean,isInvisible:boolean,cameraShake:number	
AddExplosionWithUserVfx	c	FIRE	0x36DD3FE58B5E5212		x:number,y:number,z:number,explosionType:integer,explosionFx:Hash,damageScale:number,isAudible:boolean,isInvisible:boolean,cameraShake:number	
AddExtraCalmingQuad	c	WATER	0xFDBF4CDBC07E1706	integer	xLow:number,yLow:number,xHigh:number,yHigh:number,height:number	
AddFrontendMenuContext	c	HUD	0xDD564BDD0472C936		hash:Hash	PauseMenuActivateContext
AddHealthConfig	c	CFX	0x9CBFD5C1		configName:string,defaultHealth:number,defaultArmor:number,defaultEndurance:number,fatiguedHealthThreshold:number,injuredHealthThreshold:number,dyingHealthThreshold:number,hurtHealthThreshold:number,dogTakedownThreshold:number,writheFromBulletThreshold:number,meleeCardinalFatalAttack:boolean,invincible:boolean	
AddHospitalRestart	c	MISC	0x1F464EF988465A81	integer	x:number,y:number,z:number,p3:number,p4:any	
AddLineToConversation	c	AUDIO	0xC5EF963405593646		speakerConversationIndex:integer,context:string,subtitle:string,listenerNumber:integer,volumeType:integer,isRandom:boolean,interruptible:boolean,ducksRadio:boolean,ducksScore:boolean,audibility:integer,headset:boolean,dontInterruptForSpecialAbility:boolean,isPadSpeakerRoute:boolean	
AddMinimapOverlay	c	CFX	0x4AFD2499	integer	name:string	
AddMinimapOverlayWithDepth	c	CFX	0xED0935B5	integer	name:string,depth:integer	
AddModelToCreatorBudget	c	STREAMING	0x0BC3144DEB678666	boolean	modelHash:Hash	
AddNavmeshBlockingObject	c	PATHFIND	0xFCD5C8E06E502F5A	any	x:number,y:number,z:number,width:number,length:number,height:number,heading:number,bPermanent:boolean,flags:integer	
AddNavmeshRequiredRegion	c	PATHFIND	0x387EAD7EE42F6685		x:number,y:number,radius:number	
AddNextMessageToPreviousBriefs	c	HUD	0x60296AF4BA14ABC5		addToBrief:boolean	
AddOilDecal	c	GRAPHICS	0x126D7F89FE859A5E	integer	x:number,y:number,z:number,groundLvl:number,width:number,transparency:number	
AddOwnedExplosion	c	FIRE	0x172AA1B624FA1013		ped:Ped,x:number,y:number,z:number,explosionType:integer,damageScale:number,isAudible:boolean,isInvisible:boolean,cameraShake:number	
AddPatrolRouteLink	c	TASK	0x23083260DEC3A551		id1:integer,id2:integer	
AddPatrolRouteNode	c	TASK	0x8EDF950167586B7C		id:integer,guardScenario:string,x1:number,y1:number,z1:number,x2:number,y2:number,z2:number,waitTime:integer	
AddPedAmmo	c	WEAPON	0x2472622CE1F2D45F		ped:Ped,ammoType:Hash,ammo:integer	AddAmmoToPedByType
AddPedDecorationFromHashes	b	PED	0x5F5D1665E352A839		ped:Ped,collection:Hash,overlay:Hash	
AddPedDecorationFromHashesInCorona	c	PED	0x5619BFA07CFD7833		ped:Ped,collection:Hash,overlay:Hash	
AddPedToConversation	c	AUDIO	0x95D9F4BC443956E7		speakerConversationIndex:integer,ped:Ped,voiceName:string	
AddPetrolDecal	c	GRAPHICS	0x4F5212C7AD880DF8	integer	x:number,y:number,z:number,groundLvl:number,width:number,transparency:number	
AddPetrolTrailDecalInfo	c	GRAPHICS	0x967278682CB6967A		x:number,y:number,z:number,p3:number	
AddPickupToInteriorRoomByName	c	INTERIOR	0x3F6167F351168730		pickup:Pickup,roomName:string	
AddPointToGpsCustomRoute	c	HUD	0x311438A071DD9B1A		x:number,y:number,z:number	
AddPointToGpsMultiRoute	c	HUD	0xA905192A6781C41B		x:number,y:number,z:number	
AddPoliceRestart	c	MISC	0x452736765B31FC4B	any	p0:number,p1:number,p2:number,p3:number,p4:any	
AddPopMultiplierArea	c	MISC	0x67F6413D3220E18D	integer	x1:number,y1:number,z1:number,x2:number,y2:number,z2:number,p6:number,p7:number,p8:boolean	
AddPopMultiplierSphere	c	MISC	0x32C7A7E8C43A1F80	integer	x:number,y:number,z:number,radius:number,pedMultiplier:number,vehicleMultiplier:number,p6:boolean,p7:boolean	
AddRelationshipGroup	c	PED	0xF372BC22FCB88606	any,Hash	name:string	
AddReplaceTexture	c	CFX	0xA66F8F75		origTxd:string,origTxn:string,newTxd:string,newTxn:string	
AddReplayStatValue	c	MISC	0x69FE6DC87BD2A5E9		value:any	
AddRoadNodeSpeedZone	c	VEHICLE	0x2CE544C68FB812A0	integer	x:number,y:number,z:number,radius:number,speed:number,p5:boolean	
AddRope	c	PHYSICS	0xE832D760399EB220	integer	x:number,y:number,z:number,rotX:number,rotY:number,rotZ:number,maxLength:number,ropeType:integer,initLength:number,minLength:number,lengthChangeRate:number,onlyPPU:boolean,collisionOn:boolean,lockFromFront:boolean,timeMultiplier:number,breakable:boolean,unkPtr:any	
AddScenarioBlockingArea	c	PED	0x1B5C85C612E5256E	integer	posMinX:number,posMinY:number,posMinZ:number,posMaxX:number,posMaxY:number,posMaxZ:number,network:boolean,cancelActive:boolean,blockPeds:boolean,blockVehicles:boolean	
AddScriptToRandomPed	c	BRAIN	0x4EE5367468A65CCC		name:string,model:Hash,p2:number,p3:number	
AddShockingEventAtPosition	c	EVENT	0xD9F8455409B525E9	ScrHandle	eventType:integer,x:number,y:number,z:number,duration:number	
AddShockingEventForEntity	c	EVENT	0x7FD8F3BE76F89422	ScrHandle	eventType:integer,entity:Entity,duration:number	
AddSpecfxExplosion	c	FIRE	0x36DD3FE58B5E5212		x:number,y:number,z:number,explosionType:integer,explosionFx:Hash,damageScale:number,isAudible:boolean,isInvisible:boolean,cameraShake:number	AddExplosionWithUserVfx
AddSpeedZoneForCoord	c	VEHICLE	0x2CE544C68FB812A0	integer	x:number,y:number,z:number,radius:number,speed:number,p5:boolean	AddRoadNodeSpeedZone
AddStateBagChangeHandler	b	CFX	0x5BA35AAF	integer	keyFilter:string,bagFilter:string,handler:function	
AddStuntJump	c	MISC	0x1A992DA297A4630C	integer	x1:number,y1:number,z1:number,x2:number,y2:number,z2:number,x3:number,y3:number,z3:number,x4:number,y4:number,z4:number,camX:number,camY:number,camZ:number,unk1:integer,unk2:integer,unk3:integer	
AddStuntJumpAngled	c	MISC	0xBBE5D803A5360CBF	integer	x1:number,y1:number,z1:number,x2:number,y2:number,z2:number,radius1:number,x3:number,y3:number,z3:number,x4:number,y4:number,z4:number,radius2:number,camX:number,camY:number,camZ:number,unk1:integer,unk2:integer,unk3:integer	
AddTacticalAnalysisPoint	c	MISC	0xB8721407EE9C3FF6		x:number,y:number,z:number	
AddTcmodifierOverride	c	GRAPHICS	0x1A8E2C8B9CF4549C		modifierName1:string,modifierName2:string	
AddTextComponentAppTitle	c	HUD	0x761B77454205A61D		p0:string,p1:integer	AddTextComponentSubstringPhoneNumber
AddTextComponentFloat	c	HUD	0xE7DCB5B874BCD96E		value:number,decimalPlaces:integer	
AddTextComponentFormattedInteger	c	HUD	0x0E4C749FF9DE9CC4		value:integer,commaSeparated:boolean	
AddTextComponentInteger	c	HUD	0x03B504CF259931BC		value:integer	
AddTextComponentItemString	c	HUD	0xC63CD5D2920ACBE7		labelName:string	AddTextComponentSubstringTextLabel
AddTextComponentScaleform	c	HUD	0x5F68520888E69014		string:string	AddTextComponentSubstringKeyboardDisplay
